,Source,Source type,Term (months),Interest Rate,Amount of Funds,PDF_Filename,Financing Type,Residual Receipts/Deferred Pymt.,Annual Debt Service,Sourcing Type,Application Number,Unnamed: 1,Type of tax credit funding_x,Project Name_x,Project Address,Project City_x,Project Zip Code_x,Project Phone Number,Project County_x,California Assembly District,California Senate District,Federal Congressional District,Census Tract,Assessor's Parcel Number (APN),Application Stage,Placed in Service (PIS) Date ,Last Building PIS Date,Construction Type_x,Housing Type_x,Total Units_x,Low Income Units,Number of SRO/Studio Units,Number of 1 Bedroom Units,Number of 2 Bedroom Units,Number of 3 Bedroom Units,Number of 4 Bedroom Units,Number of 5 Bedroom Units,Number of 6 Bedroom Units,Units at or below 20% AMI,Units at or below 30% AMI,Units at 35% AMI,Units at 40% AMI,Units at 45% AMI,Units at 50% AMI,Units at 55% AMI,Units at 60% AMI,Units at 70% AMI,Units at 80% AMI,Owner or Applicant Name,Owner/Applicant Contact,Owner/Applicant Address,Owner/Applicant City,Owner/Applicant State,Owner/Applicant Zip,Owner/Applicant Phone,Owner/Applicant Fax,General Partner (1),General Partner (2),General Partner (3),General Partner (4),General Partner (5),Management Company,Management Company Contact,Management Company Address,Management Company City,Management Company State,Management Company Zip,Management Company Phone,Management Company Fax,Developer,Annual Federal Award_x,Total State Award_x,Housing Type_y,Total Units_y,Type of tax credit funding_y,Project Name_y,Project City_y,Project Zip Code_y,Project County_y,Collapsed Construction Type,Construction Type_y,Annual Federal Award_y,Total State Award_y,Total Costs,Land and Acquisition,Construction Costs,Rehabilitation Costs,Construction Contigency,Hard Cost Contingency ,Soft Cost Contingency ,Relocation,Arch/Engineering,CIPF,Legal Fees,Reserves,Other Costs,Developer Fee,Commercial Costs,Construction Cost per Square Foot,Per Unit Cost,True Cash per Unit Cost,#ofPermFinancing Sources,Federal Tax Credit Factor
275,Alameda County Bond,,660,3.00%,"$6,757,321 ",19-065,Construction Financing,,,Local Grant,CA-2019-065,,0.09,City Center Apartments  ,"38631 Fremot Blvd., Fremont, CA 94536",Fremont ,94536,,Alameda,20.0,10.0,15.0,4426.1,501-0900-020,Preliminary Reservation,,,New Construction ,Special Needs,60.0,59.0,30.0,29.0,1.0,0.0,0.0,0.0,0.0,20.0,14.0,0.0,6.0,0.0,11.0,0.0,8.0,0.0,0.0,Allied 38631 Fremont L.P.,Jon White ,40849 Fremont Blvd  ,Fremont ,CA,94536.0,4089411851,,"Allied 38631 Fremont, LLC",,,,,John Stewart,Warren Reed,"1388 Sutter Street, 11th Floor",San Francisco,CA,94109,8314385725,,"Allied Housing, Inc.",2215153.0,,Special Needs,60,0.09,City Center Apartments  ,Fremont ,94536,Alameda,New Construction,New Construction ,2215153.0,,41124641,3670218.0,24183841.0,0.0,2184707.0,,,0.0,1481128,2483352,94500.0,2416871,3210023,1400000,0.0,470,685411,685411.0,8,0.93456
276,City of Fremont,,660,3.00%,"$4,818,364 ",19-065,Construction Financing,,,Local Grant,CA-2019-065,,0.09,City Center Apartments  ,"38631 Fremot Blvd., Fremont, CA 94536",Fremont ,94536,,Alameda,20.0,10.0,15.0,4426.1,501-0900-020,Preliminary Reservation,,,New Construction ,Special Needs,60.0,59.0,30.0,29.0,1.0,0.0,0.0,0.0,0.0,20.0,14.0,0.0,6.0,0.0,11.0,0.0,8.0,0.0,0.0,Allied 38631 Fremont L.P.,Jon White ,40849 Fremont Blvd  ,Fremont ,CA,94536.0,4089411851,,"Allied 38631 Fremont, LLC",,,,,John Stewart,Warren Reed,"1388 Sutter Street, 11th Floor",San Francisco,CA,94109,8314385725,,"Allied Housing, Inc.",2215153.0,,Special Needs,60,0.09,City Center Apartments  ,Fremont ,94536,Alameda,New Construction,New Construction ,2215153.0,,41124641,3670218.0,24183841.0,0.0,2184707.0,,,0.0,1481128,2483352,94500.0,2416871,3210023,1400000,0.0,470,685411,685411.0,8,0.93456
277,City of Fremont CDBG,,660,3.00%,"$2,350,000 ",19-065,Construction Financing,,,Local Grant,CA-2019-065,,0.09,City Center Apartments  ,"38631 Fremot Blvd., Fremont, CA 94536",Fremont ,94536,,Alameda,20.0,10.0,15.0,4426.1,501-0900-020,Preliminary Reservation,,,New Construction ,Special Needs,60.0,59.0,30.0,29.0,1.0,0.0,0.0,0.0,0.0,20.0,14.0,0.0,6.0,0.0,11.0,0.0,8.0,0.0,0.0,Allied 38631 Fremont L.P.,Jon White ,40849 Fremont Blvd  ,Fremont ,CA,94536.0,4089411851,,"Allied 38631 Fremont, LLC",,,,,John Stewart,Warren Reed,"1388 Sutter Street, 11th Floor",San Francisco,CA,94109,8314385725,,"Allied Housing, Inc.",2215153.0,,Special Needs,60,0.09,City Center Apartments  ,Fremont ,94536,Alameda,New Construction,New Construction ,2215153.0,,41124641,3670218.0,24183841.0,0.0,2184707.0,,,0.0,1481128,2483352,94500.0,2416871,3210023,1400000,0.0,470,685411,685411.0,8,0.93456
278,Sponsor Loan (Fremont alt Housing plan,,w/Robson)660,3.00%,"$376,636 ",19-065,Construction Financing,,,Local Grant,CA-2019-065,,0.09,City Center Apartments  ,"38631 Fremot Blvd., Fremont, CA 94536",Fremont ,94536,,Alameda,20.0,10.0,15.0,4426.1,501-0900-020,Preliminary Reservation,,,New Construction ,Special Needs,60.0,59.0,30.0,29.0,1.0,0.0,0.0,0.0,0.0,20.0,14.0,0.0,6.0,0.0,11.0,0.0,8.0,0.0,0.0,Allied 38631 Fremont L.P.,Jon White ,40849 Fremont Blvd  ,Fremont ,CA,94536.0,4089411851,,"Allied 38631 Fremont, LLC",,,,,John Stewart,Warren Reed,"1388 Sutter Street, 11th Floor",San Francisco,CA,94109,8314385725,,"Allied Housing, Inc.",2215153.0,,Special Needs,60,0.09,City Center Apartments  ,Fremont ,94536,Alameda,New Construction,New Construction ,2215153.0,,41124641,3670218.0,24183841.0,0.0,2184707.0,,,0.0,1481128,2483352,94500.0,2416871,3210023,1400000,0.0,470,685411,685411.0,8,0.93456
279,Alameda County Bond,,660,3.000%,"$6,757,321",19-065,Permanent Financing,Residual,,Local Grant,CA-2019-065,,0.09,City Center Apartments  ,"38631 Fremot Blvd., Fremont, CA 94536",Fremont ,94536,,Alameda,20.0,10.0,15.0,4426.1,501-0900-020,Preliminary Reservation,,,New Construction ,Special Needs,60.0,59.0,30.0,29.0,1.0,0.0,0.0,0.0,0.0,20.0,14.0,0.0,6.0,0.0,11.0,0.0,8.0,0.0,0.0,Allied 38631 Fremont L.P.,Jon White ,40849 Fremont Blvd  ,Fremont ,CA,94536.0,4089411851,,"Allied 38631 Fremont, LLC",,,,,John Stewart,Warren Reed,"1388 Sutter Street, 11th Floor",San Francisco,CA,94109,8314385725,,"Allied Housing, Inc.",2215153.0,,Special Needs,60,0.09,City Center Apartments  ,Fremont ,94536,Alameda,New Construction,New Construction ,2215153.0,,41124641,3670218.0,24183841.0,0.0,2184707.0,,,0.0,1481128,2483352,94500.0,2416871,3210023,1400000,0.0,470,685411,685411.0,8,0.93456
280,City of Fremont,,660,3.000%,"$4,818,364",19-065,Permanent Financing,Residual,,Local Grant,CA-2019-065,,0.09,City Center Apartments  ,"38631 Fremot Blvd., Fremont, CA 94536",Fremont ,94536,,Alameda,20.0,10.0,15.0,4426.1,501-0900-020,Preliminary Reservation,,,New Construction ,Special Needs,60.0,59.0,30.0,29.0,1.0,0.0,0.0,0.0,0.0,20.0,14.0,0.0,6.0,0.0,11.0,0.0,8.0,0.0,0.0,Allied 38631 Fremont L.P.,Jon White ,40849 Fremont Blvd  ,Fremont ,CA,94536.0,4089411851,,"Allied 38631 Fremont, LLC",,,,,John Stewart,Warren Reed,"1388 Sutter Street, 11th Floor",San Francisco,CA,94109,8314385725,,"Allied Housing, Inc.",2215153.0,,Special Needs,60,0.09,City Center Apartments  ,Fremont ,94536,Alameda,New Construction,New Construction ,2215153.0,,41124641,3670218.0,24183841.0,0.0,2184707.0,,,0.0,1481128,2483352,94500.0,2416871,3210023,1400000,0.0,470,685411,685411.0,8,0.93456
281,City of Fremont CDBG,,660,3.000%,"$2,350,000",19-065,Permanent Financing,Residual,,Local Grant,CA-2019-065,,0.09,City Center Apartments  ,"38631 Fremot Blvd., Fremont, CA 94536",Fremont ,94536,,Alameda,20.0,10.0,15.0,4426.1,501-0900-020,Preliminary Reservation,,,New Construction ,Special Needs,60.0,59.0,30.0,29.0,1.0,0.0,0.0,0.0,0.0,20.0,14.0,0.0,6.0,0.0,11.0,0.0,8.0,0.0,0.0,Allied 38631 Fremont L.P.,Jon White ,40849 Fremont Blvd  ,Fremont ,CA,94536.0,4089411851,,"Allied 38631 Fremont, LLC",,,,,John Stewart,Warren Reed,"1388 Sutter Street, 11th Floor",San Francisco,CA,94109,8314385725,,"Allied Housing, Inc.",2215153.0,,Special Needs,60,0.09,City Center Apartments  ,Fremont ,94536,Alameda,New Construction,New Construction ,2215153.0,,41124641,3670218.0,24183841.0,0.0,2184707.0,,,0.0,1481128,2483352,94500.0,2416871,3210023,1400000,0.0,470,685411,685411.0,8,0.93456
282,Sponsor Loan (Fremont alt Housing plan,,w/R66o0bso,n)3.000%,"$376,636",19-065,Permanent Financing,Residual,,Local Grant,CA-2019-065,,0.09,City Center Apartments  ,"38631 Fremot Blvd., Fremont, CA 94536",Fremont ,94536,,Alameda,20.0,10.0,15.0,4426.1,501-0900-020,Preliminary Reservation,,,New Construction ,Special Needs,60.0,59.0,30.0,29.0,1.0,0.0,0.0,0.0,0.0,20.0,14.0,0.0,6.0,0.0,11.0,0.0,8.0,0.0,0.0,Allied 38631 Fremont L.P.,Jon White ,40849 Fremont Blvd  ,Fremont ,CA,94536.0,4089411851,,"Allied 38631 Fremont, LLC",,,,,John Stewart,Warren Reed,"1388 Sutter Street, 11th Floor",San Francisco,CA,94109,8314385725,,"Allied Housing, Inc.",2215153.0,,Special Needs,60,0.09,City Center Apartments  ,Fremont ,94536,Alameda,New Construction,New Construction ,2215153.0,,41124641,3670218.0,24183841.0,0.0,2184707.0,,,0.0,1481128,2483352,94500.0,2416871,3210023,1400000,0.0,470,685411,685411.0,8,0.93456
283,VHHP,,660,3.000%,"$3,823,522",19-065,Permanent Financing,Residual,"$16,059",,CA-2019-065,,0.09,City Center Apartments  ,"38631 Fremot Blvd., Fremont, CA 94536",Fremont ,94536,,Alameda,20.0,10.0,15.0,4426.1,501-0900-020,Preliminary Reservation,,,New Construction ,Special Needs,60.0,59.0,30.0,29.0,1.0,0.0,0.0,0.0,0.0,20.0,14.0,0.0,6.0,0.0,11.0,0.0,8.0,0.0,0.0,Allied 38631 Fremont L.P.,Jon White ,40849 Fremont Blvd  ,Fremont ,CA,94536.0,4089411851,,"Allied 38631 Fremont, LLC",,,,,John Stewart,Warren Reed,"1388 Sutter Street, 11th Floor",San Francisco,CA,94109,8314385725,,"Allied Housing, Inc.",2215153.0,,Special Needs,60,0.09,City Center Apartments  ,Fremont ,94536,Alameda,New Construction,New Construction ,2215153.0,,41124641,3670218.0,24183841.0,0.0,2184707.0,,,0.0,1481128,2483352,94500.0,2416871,3210023,1400000,0.0,470,685411,685411.0,8,0.93456
284,NPLH,,660,3.000%,"$2,296,701",19-065,Permanent Financing,Residual,,State Funding,CA-2019-065,,0.09,City Center Apartments  ,"38631 Fremot Blvd., Fremont, CA 94536",Fremont ,94536,,Alameda,20.0,10.0,15.0,4426.1,501-0900-020,Preliminary Reservation,,,New Construction ,Special Needs,60.0,59.0,30.0,29.0,1.0,0.0,0.0,0.0,0.0,20.0,14.0,0.0,6.0,0.0,11.0,0.0,8.0,0.0,0.0,Allied 38631 Fremont L.P.,Jon White ,40849 Fremont Blvd  ,Fremont ,CA,94536.0,4089411851,,"Allied 38631 Fremont, LLC",,,,,John Stewart,Warren Reed,"1388 Sutter Street, 11th Floor",San Francisco,CA,94109,8314385725,,"Allied Housing, Inc.",2215153.0,,Special Needs,60,0.09,City Center Apartments  ,Fremont ,94536,Alameda,New Construction,New Construction ,2215153.0,,41124641,3670218.0,24183841.0,0.0,2184707.0,,,0.0,1481128,2483352,94500.0,2416871,3210023,1400000,0.0,470,685411,685411.0,8,0.93456
285,JPMorgan Chase Construction loan,,20,5.75%,"$9,072,300 ",19-067,Construction Financing,,,Bank Loan,CA-2019-067,,0.09,Orr Creek Commons ,"509 Brush Street, Ukiah, CA 95482",Ukiah,95482,,Mendocino,2.0,2.0,2.0,115.0,002-101-26,Preliminary Reservation,,,New Construction ,Special Needs,40.0,39.0,0.0,26.0,13.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,"Orr Creek Commons, LP",Ryan LaRue,499 Leslie Street ,Ukiah,CA,95482.0,7074631975,,"Orr Creek Commons, LLC",,,,,Rural Communities Housing Development Corporation,Dan McIntire,499 Leslie Street,Ukiah,CA,95482,7074631975,,Rural Communities Housing Development Corporation,1092497.0,,Special Needs,40,0.09,Orr Creek Commons ,Ukiah,95482,Mendocino,New Construction,New Construction ,1092497.0,,15412122,1816177.0,8306800.0,0.0,712090.0,,,0.0,517200,887800,85000.0,366136,990642,1730277,0.0,248,385303,385303.0,6,0.91902
286,State HCD - HOME loan,,660,3.00%,"$3,676,821 ",19-067,Construction Financing,,,Local Grant,CA-2019-067,,0.09,Orr Creek Commons ,"509 Brush Street, Ukiah, CA 95482",Ukiah,95482,,Mendocino,2.0,2.0,2.0,115.0,002-101-26,Preliminary Reservation,,,New Construction ,Special Needs,40.0,39.0,0.0,26.0,13.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,"Orr Creek Commons, LP",Ryan LaRue,499 Leslie Street ,Ukiah,CA,95482.0,7074631975,,"Orr Creek Commons, LLC",,,,,Rural Communities Housing Development Corporation,Dan McIntire,499 Leslie Street,Ukiah,CA,95482,7074631975,,Rural Communities Housing Development Corporation,1092497.0,,Special Needs,40,0.09,Orr Creek Commons ,Ukiah,95482,Mendocino,New Construction,New Construction ,1092497.0,,15412122,1816177.0,8306800.0,0.0,712090.0,,,0.0,517200,887800,85000.0,366136,990642,1730277,0.0,248,385303,385303.0,6,0.91902
287,Mendocino County loan of Partnership H,,ealth funds660,3.00%,"$579,900 ",19-067,Construction Financing,,,Local Grant,CA-2019-067,,0.09,Orr Creek Commons ,"509 Brush Street, Ukiah, CA 95482",Ukiah,95482,,Mendocino,2.0,2.0,2.0,115.0,002-101-26,Preliminary Reservation,,,New Construction ,Special Needs,40.0,39.0,0.0,26.0,13.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,"Orr Creek Commons, LP",Ryan LaRue,499 Leslie Street ,Ukiah,CA,95482.0,7074631975,,"Orr Creek Commons, LLC",,,,,Rural Communities Housing Development Corporation,Dan McIntire,499 Leslie Street,Ukiah,CA,95482,7074631975,,Rural Communities Housing Development Corporation,1092497.0,,Special Needs,40,0.09,Orr Creek Commons ,Ukiah,95482,Mendocino,New Construction,New Construction ,1092497.0,,15412122,1816177.0,8306800.0,0.0,712090.0,,,0.0,517200,887800,85000.0,366136,990642,1730277,0.0,248,385303,385303.0,6,0.91902
288,Perm loan,,360,5.750%,"$1,062,900",19-067,Permanent Financing,,"$74,434",Bank Loan,CA-2019-067,,0.09,Orr Creek Commons ,"509 Brush Street, Ukiah, CA 95482",Ukiah,95482,,Mendocino,2.0,2.0,2.0,115.0,002-101-26,Preliminary Reservation,,,New Construction ,Special Needs,40.0,39.0,0.0,26.0,13.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,"Orr Creek Commons, LP",Ryan LaRue,499 Leslie Street ,Ukiah,CA,95482.0,7074631975,,"Orr Creek Commons, LLC",,,,,Rural Communities Housing Development Corporation,Dan McIntire,499 Leslie Street,Ukiah,CA,95482,7074631975,,Rural Communities Housing Development Corporation,1092497.0,,Special Needs,40,0.09,Orr Creek Commons ,Ukiah,95482,Mendocino,New Construction,New Construction ,1092497.0,,15412122,1816177.0,8306800.0,0.0,712090.0,,,0.0,517200,887800,85000.0,366136,990642,1730277,0.0,248,385303,385303.0,6,0.91902
289,State HCD - HOME loan,,660,3.000%,"$3,676,821",19-067,Permanent Financing,Residual,,Local Grant,CA-2019-067,,0.09,Orr Creek Commons ,"509 Brush Street, Ukiah, CA 95482",Ukiah,95482,,Mendocino,2.0,2.0,2.0,115.0,002-101-26,Preliminary Reservation,,,New Construction ,Special Needs,40.0,39.0,0.0,26.0,13.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,"Orr Creek Commons, LP",Ryan LaRue,499 Leslie Street ,Ukiah,CA,95482.0,7074631975,,"Orr Creek Commons, LLC",,,,,Rural Communities Housing Development Corporation,Dan McIntire,499 Leslie Street,Ukiah,CA,95482,7074631975,,Rural Communities Housing Development Corporation,1092497.0,,Special Needs,40,0.09,Orr Creek Commons ,Ukiah,95482,Mendocino,New Construction,New Construction ,1092497.0,,15412122,1816177.0,8306800.0,0.0,712090.0,,,0.0,517200,887800,85000.0,366136,990642,1730277,0.0,248,385303,385303.0,6,0.91902
290,Mendocino County loan of Partnership H,,ealt6h6 f0und,s3.000%,"$579,900",19-067,Permanent Financing,Residual,,Local Grant,CA-2019-067,,0.09,Orr Creek Commons ,"509 Brush Street, Ukiah, CA 95482",Ukiah,95482,,Mendocino,2.0,2.0,2.0,115.0,002-101-26,Preliminary Reservation,,,New Construction ,Special Needs,40.0,39.0,0.0,26.0,13.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,"Orr Creek Commons, LP",Ryan LaRue,499 Leslie Street ,Ukiah,CA,95482.0,7074631975,,"Orr Creek Commons, LLC",,,,,Rural Communities Housing Development Corporation,Dan McIntire,499 Leslie Street,Ukiah,CA,95482,7074631975,,Rural Communities Housing Development Corporation,1092497.0,,Special Needs,40,0.09,Orr Creek Commons ,Ukiah,95482,Mendocino,New Construction,New Construction ,1092497.0,,15412122,1816177.0,8306800.0,0.0,712090.0,,,0.0,517200,887800,85000.0,366136,990642,1730277,0.0,248,385303,385303.0,6,0.91902
291,City of Santa Monica,,36,3.00%,"$9,547,656 ",19-068,Construction Financing,,,Local Grant,CA-2019-068,,0.09,Pacific Landing,"2120 Lincoln Boulevard, Santa Monica, CA 90405",Santa Monica,90405,,Los Angeles,62.0,26.0,33.0,2737.0,4289-002-005 & 4289-002-006,Preliminary Reservation,,,New Construction ,Large Family,37.0,36.0,0.0,18.0,9.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,12.0,0.0,9.0,0.0,2.0,Community Corporation of Santa Monica,Jesus Hernandez,1423 2nd Street Suite B,Santa Monica,CA,90401.0,3103948487,,Community Corporation of Santa Monica,,,,,Community Corporation of Santa Monica,Durinda Abraham,"1423 2nd Street Suite B,",Santa Monica,CA,", 90405",3103948487,,Community Corporation of Santa Monica,1914956.0,,Large Family,37,0.09,Pacific Landing,Santa Monica,90405,Los Angeles,New Construction,New Construction ,1914956.0,,28194681,5234255.0,15260441.0,0.0,2245158.0,,,0.0,1112807,1535116,130474.0,201640,1386200,682872,405719.0,534,751053,751053.0,3,0.9273
292,Bank of America Merril Lynch,,24,4.48%,"$17,377,396 ",19-068,Construction Financing,,,Bank Loan,CA-2019-068,,0.09,Pacific Landing,"2120 Lincoln Boulevard, Santa Monica, CA 90405",Santa Monica,90405,,Los Angeles,62.0,26.0,33.0,2737.0,4289-002-005 & 4289-002-006,Preliminary Reservation,,,New Construction ,Large Family,37.0,36.0,0.0,18.0,9.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,12.0,0.0,9.0,0.0,2.0,Community Corporation of Santa Monica,Jesus Hernandez,1423 2nd Street Suite B,Santa Monica,CA,90401.0,3103948487,,Community Corporation of Santa Monica,,,,,Community Corporation of Santa Monica,Durinda Abraham,"1423 2nd Street Suite B,",Santa Monica,CA,", 90405",3103948487,,Community Corporation of Santa Monica,1914956.0,,Large Family,37,0.09,Pacific Landing,Santa Monica,90405,Los Angeles,New Construction,New Construction ,1914956.0,,28194681,5234255.0,15260441.0,0.0,2245158.0,,,0.0,1112807,1535116,130474.0,201640,1386200,682872,405719.0,534,751053,751053.0,3,0.9273
293,9% LIHTC via Enterprise Community Par,,tners N/A,,"$890,366 ",19-068,Construction Financing,,,Tax Credit Equity,CA-2019-068,,0.09,Pacific Landing,"2120 Lincoln Boulevard, Santa Monica, CA 90405",Santa Monica,90405,,Los Angeles,62.0,26.0,33.0,2737.0,4289-002-005 & 4289-002-006,Preliminary Reservation,,,New Construction ,Large Family,37.0,36.0,0.0,18.0,9.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,12.0,0.0,9.0,0.0,2.0,Community Corporation of Santa Monica,Jesus Hernandez,1423 2nd Street Suite B,Santa Monica,CA,90401.0,3103948487,,Community Corporation of Santa Monica,,,,,Community Corporation of Santa Monica,Durinda Abraham,"1423 2nd Street Suite B,",Santa Monica,CA,", 90405",3103948487,,Community Corporation of Santa Monica,1914956.0,,Large Family,37,0.09,Pacific Landing,Santa Monica,90405,Los Angeles,New Construction,New Construction ,1914956.0,,28194681,5234255.0,15260441.0,0.0,2245158.0,,,0.0,1112807,1535116,130474.0,201640,1386200,682872,405719.0,534,751053,751053.0,3,0.9273
294,Deferred Costs during construction,,,,"$429,264 ",19-068,Construction Financing,,,Deferred Developer Fee,CA-2019-068,,0.09,Pacific Landing,"2120 Lincoln Boulevard, Santa Monica, CA 90405",Santa Monica,90405,,Los Angeles,62.0,26.0,33.0,2737.0,4289-002-005 & 4289-002-006,Preliminary Reservation,,,New Construction ,Large Family,37.0,36.0,0.0,18.0,9.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,12.0,0.0,9.0,0.0,2.0,Community Corporation of Santa Monica,Jesus Hernandez,1423 2nd Street Suite B,Santa Monica,CA,90401.0,3103948487,,Community Corporation of Santa Monica,,,,,Community Corporation of Santa Monica,Durinda Abraham,"1423 2nd Street Suite B,",Santa Monica,CA,", 90405",3103948487,,Community Corporation of Santa Monica,1914956.0,,Large Family,37,0.09,Pacific Landing,Santa Monica,90405,Los Angeles,New Construction,New Construction ,1914956.0,,28194681,5234255.0,15260441.0,0.0,2245158.0,,,0.0,1112807,1535116,130474.0,201640,1386200,682872,405719.0,534,751053,751053.0,3,0.9273
295,City of Santa Monica,,660,3.000%,"$9,547,656",19-068,Permanent Financing,Residual,,Local Grant,CA-2019-068,,0.09,Pacific Landing,"2120 Lincoln Boulevard, Santa Monica, CA 90405",Santa Monica,90405,,Los Angeles,62.0,26.0,33.0,2737.0,4289-002-005 & 4289-002-006,Preliminary Reservation,,,New Construction ,Large Family,37.0,36.0,0.0,18.0,9.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,12.0,0.0,9.0,0.0,2.0,Community Corporation of Santa Monica,Jesus Hernandez,1423 2nd Street Suite B,Santa Monica,CA,90401.0,3103948487,,Community Corporation of Santa Monica,,,,,Community Corporation of Santa Monica,Durinda Abraham,"1423 2nd Street Suite B,",Santa Monica,CA,", 90405",3103948487,,Community Corporation of Santa Monica,1914956.0,,Large Family,37,0.09,Pacific Landing,Santa Monica,90405,Los Angeles,New Construction,New Construction ,1914956.0,,28194681,5234255.0,15260441.0,0.0,2245158.0,,,0.0,1112807,1535116,130474.0,201640,1386200,682872,405719.0,534,751053,751053.0,3,0.9273
296,Bank of America Merril Lynch,,180,6.000%,"$889,713",19-068,Permanent Financing,,"$91,607",Bank Loan,CA-2019-068,,0.09,Pacific Landing,"2120 Lincoln Boulevard, Santa Monica, CA 90405",Santa Monica,90405,,Los Angeles,62.0,26.0,33.0,2737.0,4289-002-005 & 4289-002-006,Preliminary Reservation,,,New Construction ,Large Family,37.0,36.0,0.0,18.0,9.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,12.0,0.0,9.0,0.0,2.0,Community Corporation of Santa Monica,Jesus Hernandez,1423 2nd Street Suite B,Santa Monica,CA,90401.0,3103948487,,Community Corporation of Santa Monica,,,,,Community Corporation of Santa Monica,Durinda Abraham,"1423 2nd Street Suite B,",Santa Monica,CA,", 90405",3103948487,,Community Corporation of Santa Monica,1914956.0,,Large Family,37,0.09,Pacific Landing,Santa Monica,90405,Los Angeles,New Construction,New Construction ,1914956.0,,28194681,5234255.0,15260441.0,0.0,2245158.0,,,0.0,1112807,1535116,130474.0,201640,1386200,682872,405719.0,534,751053,751053.0,3,0.9273
297,9% LIHTC via Enterprise Community Par,,tners,,,19-068,Permanent Financing,,,Tax Credit Equity,CA-2019-068,,0.09,Pacific Landing,"2120 Lincoln Boulevard, Santa Monica, CA 90405",Santa Monica,90405,,Los Angeles,62.0,26.0,33.0,2737.0,4289-002-005 & 4289-002-006,Preliminary Reservation,,,New Construction ,Large Family,37.0,36.0,0.0,18.0,9.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,12.0,0.0,9.0,0.0,2.0,Community Corporation of Santa Monica,Jesus Hernandez,1423 2nd Street Suite B,Santa Monica,CA,90401.0,3103948487,,Community Corporation of Santa Monica,,,,,Community Corporation of Santa Monica,Durinda Abraham,"1423 2nd Street Suite B,",Santa Monica,CA,", 90405",3103948487,,Community Corporation of Santa Monica,1914956.0,,Large Family,37,0.09,Pacific Landing,Santa Monica,90405,Los Angeles,New Construction,New Construction ,1914956.0,,28194681,5234255.0,15260441.0,0.0,2245158.0,,,0.0,1112807,1535116,130474.0,201640,1386200,682872,405719.0,534,751053,751053.0,3,0.9273
298,Rabobank,,18,5.50%,"$3,566,295 ",19-073,Construction Financing,,,Bank Loan,CA-2019-073,,0.09,Walnut Grove Villa,"1446 E. Sumner Avenue, Fowler, CA 93625",Fowler,93625,,Fresno,31.0,12.0,21.0,16.0,343-030-24,Preliminary Reservation,,,Acquisition & Rehabilitation,At-Risk,40.0,39.0,0.0,12.0,24.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,20.0,4.0,7.0,0.0,0.0,"Fowler Walnut Grove Villa, LP",Christina Alley,"3351 M Street, Suite 100",Merced,CA,95348.0,2093880782,,Central Valley Coalition for Affordable Housing,"CVCAH, LLC",,,,Buckingham Property Management,Rosemary Lynch,2170 N. Winery Avenue,Fresno,CA,93703,5594528250,,Micon Real Estate,517697.0,1760349.0,At-Risk,40,0.09,Walnut Grove Villa,Fowler,93625,Fresno,Acquisition & Rehabilitation,Acquisition & Rehabilitation,517697.0,1760349.0,8094239,2000000.0,0.0,3094166.0,363017.0,,,300000.0,145000,363761,230000.0,600171,248198,749926,0.0,96,202356,201136.0,4,0.92
